Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Sunday,Over 51,Male,Junior high school,Owner,Below 1yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Serious Injury,21,Night,0,Medium,Low
Sunday,31-50,Male,Junior high school,Owner,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,2,1.0,Unknown,Driver or rider,Male,31-50,3,No priority to vehicle,Serious Injury,21,Night,0,Medium,Low
Thursday,31-50,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Female,Over 51,3,No distancing,Slight Injury,12,Afternoon,0,Medium,Low
Monday,31-50,Male,Unknown,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Turnover,Slight Injury,8,Morning,1,Medium,Low
Monday,Under 18,Male,Unknown,Owner,Above 10yr,Other,Organization,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Over 51,2,No distancing,Slight Injury,8,Morning,1,Medium,Low
Monday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Driver or rider,Male,Under 18,3,Changing lane to the right,Slight Injury,12,Afternoon,0,Medium,Low
Tuesday,Over 51,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Male,18-30,3,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Tuesday,Over 51,Male,Writing & reading,Owner,5-10yr,Lorry (11?40Q),Governmental,Unknown,Unkown,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Male,18-30,3,Changing lane to the left,Slight Injury,15,Afternoon,0,Medium,Low
Tuesday,Over 51,Male,Junior high school,Owner,5-10yr,Long lorry,Owner,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Going straight,Driver or rider,Female,31-50,3,Driving carelessly,Slight Injury,15,Afternoon,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,11,Morning,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Owner,Below 1yr,Taxi,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,11,Morning,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Taxi,Owner,5-10yrs,Unkown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1.0,Reversing,Driver or rider,Male,Over 51,3,No distancing,Slight Injury,20,Evening,0,Medium,Low
Wednesday,Under 18,Male,Elementary school,Employee,2-5yr,Long lorry,Owner,5-10yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Over 51,3,No priority to pedestrian,Slight Injury,20,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,8,Morning,0,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,8,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,2-5yrs,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Under 18,3,Changing lane to the left,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Turbo,Owner,2-5yrs,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,Under 18,2,Changing lane to the left,Slight Injury,13,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,3,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Friday,18-30,Male,Elementary school,Employee,5-10yr,Long lorry,Company,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Waiting to go,Driver or rider,Male,18-30,3,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Friday,Over 51,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Serious Injury,20,Evening,0,Medium,Low
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,2-5yrs,Unkown,Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1.0,Going straight,Pedestrian,Female,Under 18,2,Changing lane to the left,Serious Injury,20,Evening,0,Medium,Low
Sunday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Pedestrian,Female,Under 18,2,No distancing,Slight Injury,1,Night,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,31-50,1,Overturning,Slight Injury,1,Night,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Company,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2.0,Going straight,Driver or rider,Male,31-50,3,No priority to vehicle,Slight Injury,1,Night,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,8,Morning,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unkown,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Driving under the influence of drugs,Slight Injury,8,Morning,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,31-50,3,Moving Backward,Slight Injury,8,Morning,0,Medium,Low
Saturday,Unknown,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,3,Changing lane to the right,Slight Injury,8,Morning,0,Medium,Low
Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Unknown,Unkown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Overspeed,Serious Injury,17,Evening,0,Medium,Low
Tuesday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving under the influence of drugs,Slight Injury,16,Afternoon,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,Unkown,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Pedestrian,Female,Under 18,3,Driving carelessly,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,Unknown,Female,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,2-5yrs,Unkown,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,Under 18,3,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Turnover,na,na,na,na,No priority to vehicle,Slight Injury,21,Night,0,Medium,Low
Friday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Reversing,Driver or rider,Male,18-30,3,Overspeed,Serious Injury,17,Evening,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,Driving under the influence of drugs,Slight Injury,23,Night,0,Medium,Low
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,19,Evening,0,Medium,Low
Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,Unkown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Passenger,Female,Under 18,3,Changing lane to the right,Slight Injury,19,Evening,0,Medium,Low
Wednesday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,16,Afternoon,0,Medium,Low
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,31-50,3,Changing lane to the right,Slight Injury,16,Afternoon,0,Medium,Low
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Male,Under 18,3,Moving Backward,Slight Injury,21,Night,0,Medium,Low
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,21,Night,0,Medium,Low
Wednesday,31-50,Male,Writing & reading,Employee,Below 1yr,Special vehicle,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,18-30,3,Overspeed,Slight Injury,16,Afternoon,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Unknown,Passenger,Male,18-30,3,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Male,18-30,3,Driving carelessly,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,Unknown,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Governmental,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,na,na,na,na,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Under 18,3,No distancing,Slight Injury,21,Night,0,Medium,Low
Thursday,Unknown,Female,Elementary school,Employee,Below 1yr,Motorcycle,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Moving Backward,Passenger,Female,31-50,3,No distancing,Slight Injury,10,Morning,0,Medium,Low
Thursday,18-30,Male,High school,Employee,2-5yr,Automobile,Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,17,Evening,0,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,2,No distancing,Slight Injury,17,Evening,0,Medium,Low
Friday,Unknown,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,12,Afternoon,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Male,18-30,3,Changing lane to the left,Slight Injury,12,Afternoon,0,Medium,Low
Friday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1.0,Turnover,Driver or rider,Female,18-30,3,Moving Backward,Slight Injury,12,Afternoon,0,Medium,Low
Friday,31-50,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,15,Afternoon,0,Medium,Low
Friday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,Over 51,3,Changing lane to the left,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,Under 18,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,na,na,na,na,No priority to pedestrian,Slight Injury,8,Morning,0,Medium,Low
Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,Under 18,3,No distancing,Slight Injury,8,Morning,0,Medium,Low
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Bicycle,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,31-50,3,No distancing,Slight Injury,14,Afternoon,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Overturning,Slight Injury,14,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Female,31-50,3,No distancing,Slight Injury,10,Morning,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Reversing,Driver or rider,Female,Over 51,3,Drunk driving,Slight Injury,10,Morning,0,Medium,Low
Friday,31-50,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,22,Night,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,5-10yr,Special vehicle,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,No priority to pedestrian,Slight Injury,22,Night,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,Over 51,3,Changing lane to the left,Slight Injury,21,Night,0,Medium,Low
Friday,18-30,Male,High school,Employee,Above 10yr,Public (13?45 seats),Owner,Above 10yr,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Passenger,Male,Under 18,3,Changing lane to the left,Slight Injury,21,Night,0,Medium,Low
Friday,18-30,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Above 10yr,Unkown,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,Over 51,3,Getting off the vehicle improperly,Slight Injury,21,Night,0,Medium,Low
Saturday,18-30,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,No distancing,Slight Injury,17,Evening,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Company,Unknown,Unkown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the right,Slight Injury,17,Evening,0,Medium,Low
Sunday,Unknown,Female,Elementary school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Turnover,Passenger,Female,18-30,3,Changing lane to the right,Slight Injury,0,Night,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Moving Backward,Slight Injury,14,Afternoon,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving at high speed,Slight Injury,16,Afternoon,0,Medium,Low
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Pedestrian,Male,18-30,2,Changing lane to the left,Slight Injury,13,Afternoon,0,Medium,Low
Tuesday,Over 51,Unknown,High school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,10,Morning,0,Medium,Low
Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,10,Morning,0,Medium,Low
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2.0,Going straight,Passenger,Male,18-30,3,Changing lane to the right,Slight Injury,21,Night,1,Medium,Low
Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2.0,Other,na,na,na,na,Changing lane to the right,Slight Injury,21,Night,1,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No distancing,Slight Injury,8,Morning,1,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect, Church areas,Undivided Two way,Sharp reverse curve,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,8,Morning,1,Medium,Low
